,title,author,VR,VFA,RPA,RCA,OA
0,AClassicEducation_NightOwl,Salamon,0.8714537586151627,0.23121013219931588,0.42116792220975585,0.7554095207565314,0.5302363377801855
1,AimeeNorwich_Child,Salamon,0.9124497319034852,0.4272582127824278,0.8784349865951743,0.9023961126005362,0.6727189081429229
2,AlexanderRoss_GoodbyeBolero,Salamon,0.7329801381322123,0.337068087440257,0.43535240873407405,0.5563896872721033,0.49295891778011863
3,AlexanderRoss_VelvetCurtain,Salamon,0.6807606024997329,0.26771710022953327,0.5632517893387459,0.698151906847559,0.583003305915671
4,Auctioneer_OurFutureFaces,Salamon,0.7612365477948935,0.528329872441412,0.399715129774214,0.6277695716395865,0.4069420010611265
5,AvaLuna_Waterduct,Salamon,0.8187177597641857,0.37636655948553055,0.7383935151068534,0.7720707442888726,0.6440564137004701
6,BigTroubles_Phantom,Salamon,0.9394043370848202,0.6021785681035285,0.13779851770518803,0.3816909140818007,0.24785683245763046
7,BrandonWebster_DontHearAThing,Salamon,0.9014514896867838,0.255948849779184,0.8508924230849364,0.9136745607333843,0.7837335136963138
8,BrandonWebster_YesSirICanFly,Salamon,0.7283112071627046,0.3673469387755102,0.5946279715961716,0.7761654831738191,0.5643460530148559
9,CelestialShore_DieForUs,Salamon,0.7518452908178329,0.45951593243949157,0.4050044286979628,0.4815470918216711,0.4936257967754031
10,ClaraBerryAndWooldog_AirTraffic,Salamon,0.7579099523529097,0.3001785714285714,0.6467690989881685,0.7203276406659885,0.6336222765152782
11,ClaraBerryAndWooldog_Boys,Salamon,0.7483959944834203,0.2872362220856382,0.7754991905018889,0.8732985548959645,0.6804720299557472
12,ClaraBerryAndWooldog_Stella,Salamon,0.869197494996449,0.3438099939663211,0.8152882690941958,0.8910194331461037,0.7110320284697509
13,ClaraBerryAndWooldog_TheBadGuys,Salamon,0.8565660449913478,0.358257477243173,0.864160738319554,0.9210248029225149,0.7135433286228746
14,ClaraBerryAndWooldog_WaltzForMyVictims,Salamon,0.6863052130227703,0.2708473210688868,0.4687805832844001,0.6117309323416193,0.5817808808444459
15,Creepoid_OldTree,Salamon,0.7549578157591607,0.37093134058879584,0.56175087948694,0.7033404937579777,0.544410295812524
16,Debussy_LenfantProdigue,Salamon,0.8048961424332344,0.330852408369611,0.5609132871744148,0.7353692713484998,0.5891289669142471
17,DreamersOfTheGhetto_HeavyLove,Salamon,0.8873604983130029,0.3007828594973218,0.6755774720996626,0.7533869711912795,0.6819505667506297
